기관ID,주소,병원분류,병원분류명,응급의료기관코드,응급의료기관코드명,응급실운영여부(1/2),비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,lng,lat,작업시간
A1122465,"서울특별시 강남구 학동로 233, 디와이빌딩 3층일부,4~6층 (논현동)",B,병원,G099,응급의료기관 이외,2,점심시간 13:00~14:00 08/15 광복절 휴무,하지정맥류 진료만 시행,"강남역 5,6번출구",강남와이케이병원,02-6967-8200,1544-7522,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,900,900,60,53,127.0346989,37.51549792,15:04.0
A1100085,서울특별시 도봉구 도봉로 639 (쌍문동),B,병원,G099,응급의료기관 이외,2,"365일 진료, 일, 공휴일 10~16시 진료, 월,화,수,금 물리치료 19시까지 시행(목요일은 18시, 토요일은 13시까지)",장애인 진료가능(예약필수)/,방학교 인근 방학사거리,정병원,02-900-9942,02-3010-3333,1900,1900,1900,1900,1900,1600,1600,1600,900,900,900,900,900,900,1000,1000,13,91,127.0418249,37.66153966,55:53.0
A1121286,"서울특별시 강남구 남부순환로 2609, 하늘빌딩, 7~12층 (도곡동) (도곡동)",B,병원,G099,응급의료기관 이외,2,야간 도수치료: 평일 09:00~21:00  08/15 광복절 휴무,하지정맥류 진료만 시행,선릉역 5번출구,강남유나이티드병원,02-1644-0075,1544-7522,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,900,900,62,67,127.0350962,37.48496298,15:11.0
A1119542,"서울특별시 강남구 논현로2길 30, 지하1층~지상6층 (개포동)",B,병원,G099,응급의료기관 이외,2,휴게시간 13:00~14:00,※ 진료과목:  노안백내장  /  녹내장  /  황반변성  /  실명질환  /  안구건조증  /  드림렌즈  /  고도근시,신사역 5번출구,그레이스셀강남병원,02-3461-4320,02-2276-2114,1800,1800,1800,1800,1800,1300,1430,1430,900,900,900,900,900,900,1000,1000,63,13,127.0527305,37.47300733,15:15.0
A1121222,"서울특별시 강서구 금낭화로 9, 바른세상병원 1,2,3,4,5,층 6,7호 (방화동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,개원 20년차 구강외과전문의 대표원장님께서 운영하는 강서메트로치과입니다^^,증미역 3번출구에서 직진 4층.,강서바른세상병원,02-2603-0300,02-986-0334,1800,1800,1800,1800,1800,1230,1300,1500,900,900,900,900,900,900,800,900,76,14,126.8116034,37.56613738,15:11.0
A1117253,"서울특별시 서대문구 통일로 442 (홍제동, 제이여성병원)",B,병원,G099,응급의료기관 이외,2,"산부인과: 평일(20시까지), 토요일(15:30시까지), 일요일/공휴일 오전진료(13시까지) 내과/소아과: 수요일 오전진료(12:30시까지) 소아과/외과: 토요일 오전진료(13시까지)",24시간 분만 산부인과 병원 산부인과만 일.공휴일 09:00~13:00 진료,홍제역 2번 출구 앞,제이여성병원,02-2153-7777,02-3010-3333,2000,2000,2000,2000,2000,1530,1230,1230,830,830,830,830,830,830,830,830,36,29,126.9449236,37.58851463,11:20.0
A1100095,서울특별시 강동구 풍성로37길 45 (성내동),B,병원,G099,응급의료기관 이외,2,08/16 휴무,"토요일,공휴일 예약진료 위주(사전연락)/",천호역 6번출구 근처/,공안과병원,02-480-5000,02-2626-1550,1800,1800,1800,1800,1800,1300,1400,1300,900,900,900,900,900,900,900,900,53,87,127.1260271,37.53391488,15:12.0
A1100113,"서울특별시 강남구 영동대로86길 9 (대치동, 지하1~2층,2~7층)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,"스포츠의학과, 척추관절",삼성역 2번 출구,광혜병원,02-538-7111,02-2626-1550,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,930,900,900,61,74,127.064772,37.50813649,15:13.0
A1100026,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",A,종합병원,G007,지역응급의료기관,1,점심시간 13:00~14:00,"안녕하세요? 최고의 치료가 될 수 있도록 최선을 다하는 구대한의원입니다. 머리떨림, 틱장애, 파킨슨병, 디스크 등의 질환을 치료합니다.",구일역 2번 출구 고척 스카이 돔구장 맞은편,구로성심병원,02-2067-1500,02-2067-1515,1730,1730,1730,1730,1730,1230,1800,1700,900,900,900,900,900,900,900,900,82,23,126.8663604,37.49964579,15:13.0
A1100132,"서울특별시 강북구 삼각산로 58 (수유동, 국립재활원)",B,병원,G099,응급의료기관 이외,2,법정 공휴일은 진료 없음 08/15 광복절 휴무,장애인이 건강하고 행복하게 사는 세상을 만들고 재활의 미래를 선도하는 세계적인 재활전문기관 입니다.,서울시 강북구 삼각산로 58번지 국립재활원,국립재활원,02-901-1700,02-2067-1515,1730,1730,1730,1730,1730,1300,1300,1500,830,830,830,830,830,900,800,930,10,22,127.0102646,37.6386557,15:13.0
A1100052,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",A,종합병원,G006,지역응급의료센터,1,접수시간 : 평일 08:30~17:00 / 토요일 08:30~12:00 진료시간 : 평일 09:00~17:00,"외래 30분전 접수마감/토요일은 일부과만 진료하며, 진료과 사정상 토요진료가 어려울 수 있으니 안내전화로 문의 후 내원하시기 바랍니다.  ☎ 1588-1775(ARS 안내)",동대문역사문화공원역 13번출구 도보5분,국립중앙의료원,02-2260-7114,02-2276-2114,1700,1700,1700,1700,1700,1200,1300,1500,830,830,830,830,830,830,800,930,45,64,127.0057954,37.56733956,15:13.0
A1100068,서울특별시 용산구 이촌로 318 (이촌동),B,병원,G099,응급의료기관 이외,2,"- 토요일 주말진료실(오후)(13:00~17:30) / 일요일 주말진료실(오전)(09:00~12:00,외래진료불가) 운영 08/15 광복절 휴무","토요일11:30 이후와 일요일은 레지던트선생님당직 진료이며, 외래진료 불가.",4호선 이촌역 4번출구에서 버스이용,금강아산병원(재단법인 아산사회복지재단),02-799-5000,02-2276-2114,1630,1630,1630,1630,1630,1130,1700,1700,830,830,830,830,830,830,800,800,44,25,126.9827301,37.51767984,15:15.0
A1122033,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",A,종합병원,G009,응급실운영신고기관,1,"10/3(금) 개천절 정상진료  10/4(토) 정상진료 * 응급실은 365일 24시간 응급진료 및 응급수술 가능합니다.   (맹장, 담낭, 담석, 소아응급질환, 복막염, 장천공, 응급대장암 등 수술 가능) 10/5(일)~10/7(화) 추석연휴, 10/8(수) 대체공휴일 및 10/9(목) 한글날에도 예외 없이 응급진료 및 응급수술이 가능합니다.","보건복지부지정 인증의료기관, 외과전문종합병원 기쁨병원입니다.  응급실은 365일 24시간 운영되며 맹장, 담낭, 담석, 소아응급질환, 복막염, 장천공, 응급대장암 등 응급수술이 가능합니다.  건강검진센터는 남부터미널역 3번출구 국제전자센터 12-13층에 위치하고 있습니다.",길동역 3번출구/길동사거리 인근,기쁨병원,02-570-1234,02-570-1212,1700,1700,1700,1700,1700,1300,1630,1700,830,830,830,830,830,830,1000,830,67,25,127.0180635,37.48271303,15:15.0
A1100149,"서울특별시 강남구 봉은사로 171 (논현동, 지하1층일부,1-5층,6층일부)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,점심시간 평일 12:00~13:30,언주역 1번 출구,김정수여러분병원,02-517-0770,02-570-1212,1700,1700,1700,1700,1700,1300,1300,1300,900,900,900,900,900,900,930,930,61,22,127.032576,37.50722073,15:15.0
A1100197,"서울특별시 서초구 강남대로 505 (반포동, 고도일 병원)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,"야간진료  - 월~금: 20시까지, 토: 17시까지",7호선 논현역3번출구/신논현역 2번 출구,고도일병원,1577-8907,02-958-8114,2000,2000,2000,2000,2000,1700,2000,2000,830,830,830,830,830,830,1500,1500,65,36,127.0227028,37.50701446,15:12.0
A1119043,"서울특별시 강남구 언주로 731, 나누리병원 (논현동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,소아진료만 가능함,서울금화초등학교 인근,나누리병원,02-6003-9718,02-570-1212,1800,1800,1800,1800,1800,1300,1250,1250,900,900,900,900,900,900,900,900,60,48,127.0339793,37.52030661,15:16.0
A1117098,서울특별시 강동구 천호대로 1133 (길동),B,병원,G099,응급의료기관 이외,2,점심시간 12:30~ 13:30 입니다. 08/15 광복절 휴무,척추.관절병원 / 96병상,오류동역 3번 출구 보도 10~15분 거리,남기세병원,02-1577-2533,02-570-1212,1730,1730,1730,1730,1730,1300,1300,1500,900,900,900,900,900,900,1000,900,53,55,127.1375128,37.53468864,15:16.0
A1100048,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",A,종합병원,G006,지역응급의료센터,1,평일 13:00-14:00 휴게시간,일반진료/미용성형/봉합/,하계역 3번 출구,노원을지대학교병원,02-970-8000,02-970-8282,1730,1730,1730,1730,1730,1230,1300,1300,830,830,830,830,830,830,830,830,18,30,127.0700028,37.63644293,15:16.0
A1100044,서울특별시 중랑구 사가정로49길 53 (면목동),A,종합병원,G007,지역응급의료기관,1,,일반진료/미용성형/봉합/,사가정역 1번 출구/까치어린이공원 옆,녹색병원,02-490-2000,02-490-2113,1730,1730,1730,1730,1730,1230,1300,1300,830,830,830,830,830,830,830,830,22,21,127.0860555,37.58362084,15:16.0
A1100161,"서울특별시 강남구 테헤란로 408, 대치빌딩 지상9층~지상17층 (대치동)",B,병원,G099,응급의료기관 이외,2,접수마감 30분전까지,피부과와 비뇨기과 진료를 1983년 3월부터 성실하게 수행하고 있습니다.,2호선 선릉역 2번출구 300m직진 도성초교 사거리 좌측위치,누네안과병원,02-1661-1175,02-490-2113,1730,1730,1730,1730,1730,1300,1300,1300,900,900,900,900,900,900,900,900,61,92,127.050387,37.50446821,15:16.0
A1125100,"서울특별시 서초구 방배로 223, 창생빌딩 2~7층 (방배동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,남성수술전문/,천호역2번출구/,뉴민병원,02-6677-8875,02-490-2113,1800,1800,1800,1800,1800,1300,1800,1800,900,900,900,900,900,900,1100,1100,65,61,126.9899521,37.49304215,15:16.0
A1100123,"서울특별시 송파구 송이로 76, 뉴스타트병원 (가락동)",B,병원,G099,응급의료기관 이외,2,"외래진료시간(월~금: 09:00~18:00, 토: 09:00~12:30)이후에는 야간진료실 운영/일요일 및 공휴일 24시간 야간진료실 운영.  * 야간진료(진료 및 응급수술)","저희 병원은 24시간 365일 양간 진료 및 정형외과 응급수술병원입니다. 수지/사지 접합 및 인공관절,전문 재활 병원병원입니다",지하철 송파역 2번출구/경찰병원 1번출구에서 신가 초등학교 방면.,뉴스타트병원,02-407-7700,02-490-2113,1800,1800,1800,1800,1800,2400,2400,1300,900,900,900,900,900,0,0,900,57,7,127.119513,37.4990977,15:16.0
A1118713,"서울특별시 중랑구 동일로 643, 화성빌딩 지하1, 2~8층 (면목동)",B,병원,G099,응급의료기관 이외,2,점심시간 13:00~14:00,점심시간 13~14시,"군자역 7,8번출구",늘찬병원,02-1644-0710,02-490-2113,1800,1800,1800,1800,1800,1300,1300,1500,900,900,900,900,900,900,900,930,21,35,127.0796809,37.5879908,15:16.0
A1107389,서울특별시 도봉구 해등로 129 (창동),B,병원,G099,응급의료기관 이외,2,점심시간: 12:00~13:00 08/15 광복절 휴무,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",로얄프라자 402호,다나병원,02-942-8000,02-490-2113,1800,1800,1800,1800,1800,1500,1300,1800,930,930,930,930,930,930,1000,930,14,26,127.040437,37.6550519,15:17.0
A1100200,서울특별시 동대문구 무학로 193-1 (용두동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,피부질환전문,안암오거리 인근,날개병원,02-959-9191,02-570-1212,1800,1800,1800,1800,1800,1230,1300,1500,900,900,900,900,900,900,1000,900,25,78,127.0294987,37.58162714,15:16.0
A1100037,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",A,종합병원,G007,지역응급의료기관,1,휴게시간 13:00~14:00,정형외과 전문의가 진료하는 정형외과 의원입니다.,구로디지털단지역 6번 출구 도보 10분,대림성모병원,02-829-9000,02-829-9129,1730,1730,1730,1730,1730,1230,1500,1400,830,830,830,830,830,830,900,900,74,42,126.9071695,37.49068925,15:17.0
A1100181,서울특별시 서초구 남부순환로 2151 (방배동),B,병원,G099,응급의료기관 이외,2,항문외과만 야간진료(평일) 18:00-19:30,일반진료/피부미용/화상,사당역 14번 출구 6분거리,대항병원,02-6388-8114,02-829-9129,1920,1920,1920,1920,1920,1220,1600,1600,900,900,900,900,900,900,900,900,66,99,126.9877402,37.47566662,15:17.0
A1123234,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",B,병원,G009,응급실운영신고기관,1,응급실 00:00-24:00,"명동역에 위치한 더끌림산부인과는 삼성서울병원 출신의 전문의 여의사가 1:1 프라이버시 보장 상담부터 치료까지 직접 진행합니다. 또한, 모든 의료진이 산부인과 전문의 여의사로 여자의 마음을 배려하는 따뜻한 진료와 실력과 노하우로 환자분의 속 깊은 고민을 시원하게 해결해드리는 더끌림산부인과가 되겠습니다.",암사역 2번출구,더드림병원,02-1661-1177,1661-1177,1800,1800,1800,1800,1800,1300,1400,1300,900,900,900,900,900,900,1000,900,61,98,127.0509673,37.50099026,15:17.0
A1100147,서울특별시 동작구 동작대로 67 (사당동),B,병원,G099,응급의료기관 이외,2,접수시간 : 평일 08:40~17:20 / 토요일 08:40~13:20 점심시간 : 13:00~14:00 08/15 광복절 휴무,홈페이지 : www.thebone.kr,4.7호선 이수역 7번출구/2.4호선 사당역 10번출구,더본병원,1833-2299,1661-1177,1400,1800,1800,1800,1800,1400,1900,1500,900,900,900,900,900,900,1200,1000,70,14,126.9814807,37.48254699,15:17.0
A1119315,"서울특별시 성북구 아리랑로 16, 3~7층 (동선동4가)",B,병원,G099,응급의료기관 이외,2,점심시간) 12:30-13:30 08/15 광복절 휴무,항문(전문)/대장내시경/피부종양제거/봉합,성신여대입구역 6번 출구,더서울병원,02-929-2114,1661-1177,1800,1800,1800,1800,1800,1300,1300,1800,900,900,900,900,900,900,1000,900,28,29,127.0165047,37.59423384,15:17.0
A1116073,"서울특별시 강동구 성내로 66, 채원자연통합병원빌딩 (성내동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,점심시간: 12:30 ~ 13:30 운영시간이 변경 될 수 있으니 전화 확인 후 방문,"압구정역 2,3번출구 사이 구정빌딩",더셀채원병원,02-2635-9933,1661-1177,1800,1800,1800,1800,1800,1200,1300,1800,930,930,930,900,930,900,1000,900,53,99,127.1270712,37.52767307,15:17.0
A1125254,"서울특별시 송파구 송이로 81, 지하2층~지상7층층 (가락동)",B,병원,G099,응급의료기관 이외,2,휴게시간 13:00~14:00,하지정맥류 전문의원,성신여대입구역 3번 출구 인근,더힐병원,02-1555-1627,1661-1177,1900,1900,1900,1900,1900,1400,1400,1300,900,900,900,900,900,900,900,900,57,6,127.120406,37.49877775,15:18.0
A1116984,서울특별시 영등포구 영신로34길 5 (영등포동4가),B,병원,G099,응급의료기관 이외,2,휴게시간 13:00~14:00,의료법인 덕수의료재단 덕수당한의원과 같은 전화번호 사용,영등포 김안과병원 앞,덕수의료재단 서울브레인병원,02-2678-8225,1661-1177,1730,1730,1730,1730,1730,1300,1400,1600,900,900,900,900,900,900,900,930,73,1,126.9018166,37.52006129,15:18.0
A1100159,서울특별시 금천구 시흥대로 239 (시흥동),B,병원,G099,응급의료기관 이외,2,봉합(구강외과)/턱관절/임플란트,비만피부 미용위주/ 일반치료가능,신사역 1번 출구,뉴연세여성병원,02-891-1801,02-490-2113,2000,2000,2000,2000,2000,1600,1300,1300,900,900,900,900,900,900,1000,1000,86,14,126.8999483,37.4552124,54:54.0
A1100650,"서울특별시 강남구 학동로 234, 담소유빌딩 (논현동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,"담낭,탈장,맹장전문병원",학동역 1번출구,담소유병원,02-542-2222,02-490-2113,1730,1730,1730,1730,1730,1530,1300,1300,830,830,830,830,830,830,900,900,61,4,127.0346143,37.51486049,15:17.0
A1122961,"서울특별시 강남구 압구정로30길 45, 2~4층 (신사동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,이물제거/수액/후두내시경/축농증수술/알레르기검사/후각미각검사,뚝섬역 5번출구,두발로병원,02-1833-2280,1661-1177,1800,1800,1800,1800,1800,1300,1300,1300,900,900,900,900,900,900,1000,1000,60,22,127.0294032,37.52435027,15:18.0
A1100061,"서울특별시 강동구 천호대로 1110, 지하5~지상9층 (성내동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,척추/관절 전문병원,상계주공2단지근처,달려라병원,216007511,02-490-2113,1800,1800,1800,1800,1800,1300,1800,1800,900,900,900,900,900,900,930,930,53,73,127.1409285,37.53408148,15:17.0
A1100226,"서울특별시 중랑구 봉화산로 64 (중화동, 디엔에프병원)",B,병원,G099,응급의료기관 이외,2,평일 13:00-14:00 휴게시간,내과진료 17시까지,중화역 2번 출구,디앤에프병원,02-434-2119,1661-1177,1730,1730,1730,1730,1730,1300,1630,1400,900,900,900,900,900,900,1000,900,20,89,127.0814865,37.60147102,15:18.0
A1100092,서울특별시 강서구 화곡로 188  (화곡동),B,병원,G099,응급의료기관 이외,2,소아청소년과와 내과는 위 진료시간과 다를 수 있으므로 전화 확인 후 방문해주세요 일부 공휴일의 경우 진료가 없을 수 있습니다.,"산부인과 전문병원으로 소아청소년과 ,내과,피부과 외래진료하고 있습니다.",화곡동 화곡역(5호선)4거리에서 강서구청방면 100m지점 오른쪽에 위치,더와이즈황병원,02-2600-5000,02-829-9129,1800,1800,1800,1800,1800,1300,1200,1500,900,900,900,900,900,900,1000,1000,77,27,126.8423683,37.54224964,55:13.0
A1122078,서울특별시 중랑구 망우로 470 (망우동),B,병원,G099,응급의료기관 이외,2,"2,4째주 토요일 휴무",2014.10.01 개원,합정역 1번출구,러스크서울병원,02-3426-0100,1661-1177,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,1000,1000,21,77,127.1043263,37.60014336,15:19.0
A1100060,"서울특별시 종로구 평창문화로 75, 글로리아타운 2층일부,3,5층 (평창동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,재활전문병원,글로리아타운 5층,로이병원,02-1644-7541,1661-1177,1800,1800,1800,1800,1800,1500,1600,1300,900,900,900,900,900,900,1000,900,30,9,126.9690062,37.60686264,15:19.0
A1116946,서울특별시 강동구 천호대로 1044 (성내동),B,병원,G099,응급의료기관 이외,2,"평일 외래 09:00 ~ 18:00 , 야간진료 18시이후 진료합니다 토요일 외래 09:00 ~ 13:00 , 토요일 야간진료 13시이후 진료합니다  일요일 , 공유일 24시간 진료 시행합니다 *24시간 진료 및 응급수술 가능합니다","미세접합(절단,골절) 및 인공관절, 척추 전문(척추내시경수술)/ 24시간 정형외과 전문의 진료 가능",서울 YMCA 옆,리더스병원,02-333-3080,1661-1177,2400,2400,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,0,0,53,79,127.1277284,37.53694681,15:19.0
A1119708,"서울특별시 은평구 연서로 10, 지하2~지상9층 (역촌동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,야간진료는 없음,응암역 3번 출구,리드힐병원,02-382-7700,1661-1177,1800,1800,1800,1600,1800,1400,1400,1400,900,900,900,900,900,900,1000,1000,34,9,126.9164557,37.59998637,15:19.0
A1100115,"서울특별시 양천구 신월로 164, 8층 9층 (신월동, 승일뷰티타워)",B,병원,G099,응급의료기관 이외,2,점심시간 13:00~14:00 토요일은 격주휴무,재활의학과,신곡종합시장 인근,라온휴병원,02-2601-2611,02-829-9129,1730,1730,1730,1730,1730,1230,1300,1600,900,900,900,900,900,900,900,1000,80,64,126.842018,37.51776043,10:00.0
A1100215,"서울특별시 동대문구 답십리로 266, 파워스빌딩 (장안동)",B,병원,G099,응급의료기관 이외,2,내과/유방외과/갑상선외과 평일 09:00~18:00  토요일 09:00~16:00          일.공휴일 진료 없음 치과                                평일 09:00~18:00  토요일 09:00~14:00          일.공휴일 진료 없음,"서울 동대문구 답십리로 장안사거리에 위치하고 있으며 이지역 최대분만 병원 입니다. 분만실은 24시간 운영하며 야간에도 산부인과,마취과 전문의가 상주 하고 잇습니다.",장안동사거리 인근,린여성병원,02-2244-1212,1661-1177,1900,1900,1900,1900,1900,1600,1930,1300,900,900,900,900,900,900,930,1000,26,24,127.0698445,37.57228127,15:19.0
A1121224,서울특별시 중랑구 동일로 890 (묵동),B,병원,G099,응급의료기관 이외,2,점심시간 12시30분~1시30분 08/15 광복절 휴무,"관악구 봉천역 1번출구 인근의 정신건강의학과 점심시간 오후 1-2시(수요일, 토요일은 점심시간 없이 진료) blog.naver.com/manasclinic",지하철 7호선 먹골역 4번출구 앞,마디세상병원,02-978-8575,1661-1177,2000,2000,2000,2000,1800,1300,1400,1400,900,900,900,900,900,900,900,900,20,38,127.0781892,37.60991516,15:19.0
A1100144,"서울특별시 노원구 노원로 448 (상계동, 메디아이여성병원)",B,병원,G099,응급의료기관 이외,2,"수요일 소아청소년과 정기 휴무 토요일 소아청소년과 09:00~13:00 일요일 소아청소년과 정기휴무 산부인과- 분말실 연중무휴, 24시간 운영 화요일, 금요일 산부인과 8시 모닝 진료",소아과 평일 18시까지/토요일 15시까지,노원역 1번 출구,메디아이여성병원,02-936-2122,1661-1177,1800,1800,1800,1800,1800,1600,1200,1200,900,900,900,900,900,900,900,900,16,96,127.067048,37.65647234,15:20.0
A1100114,"서울특별시 양천구 남부순환로 331 (신월동, 메디힐병원)",B,병원,G099,응급의료기관 이외,2,"평일- 18:00 정규 진료 종료 후, 야간 진료실 운영 18:00~22:00 ★추석진료 09월 14일(토) 09 : 00 ~ 13 : 00  기존대로 진행 09월 15일(일) ~ 09월 18일(수) 까지 진료 없습니다",체형교정센터를 찾아주시는 환자 분들의 편의를 위한 사전 예약서비스입니다. 예약이 어려우시면 02-978-9910으로 전화 주세요.,5호선 화곡역 / 신월5동 주민센터인근,메디힐병원,02-2604-7551,1661-1177,1800,1800,1800,1800,1800,1300,1300,1300,900,900,900,900,900,900,900,900,79,5,126.8278414,37.53726134,15:20.0
A1100024,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",A,종합병원,G007,지역응급의료기관,1,점심시간 없이 진료,보건복지부 지정 뇌혈관 전문병원 ( 종합병원 ),대림역 11번 출구,명지성모병원,02-1899-1475,02-829-7800,1800,1730,1800,1730,1730,1230,1300,1800,830,830,830,830,830,830,900,1400,74,17,126.8992545,37.49385071,15:20.0
A1124602,"서울특별시 강남구 선릉로 751, 카로시티Ⅲ 지하1층, 지상1층~7층 (논현동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,보건복지부 지정 뇌혈관 전문병원 ( 종합병원 ),신촌전화국 뒷편,모두가행복한연세병원,02-1600-2959,02-829-7800,1800,1800,1800,1800,1800,1300,1600,1600,900,900,900,900,900,900,1000,1000,60,55,127.0392287,37.52170631,15:20.0
A1124538,"서울특별시 강남구 선릉로 751, 카로시티Ⅲ 지하1층, 지상1층~7층 (논현동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,보건복지부 지정 뇌혈관 전문병원 ( 종합병원 ),신촌전화국 뒷편,모두가행복한연세병원,16002959,02-829-7800,1800,1800,1800,1800,1800,1300,1600,1600,900,900,900,900,900,900,1000,1000,60,55,127.0392287,37.52170631,15:20.0
A1120344,서울특별시 양천구 중앙로 300 (신정동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,(재)자생의료재단 사이트주소:www.jaseng.co.kr,오목교역 6번출구,목동제일여성병원,02-6927-3646,02-829-7800,1800,1800,1800,1800,1800,1400,1600,1800,900,900,900,900,900,900,1200,900,80,19,126.8518726,37.52305631,15:20.0
A1100072,"서울특별시 강남구 논현로 705, 메드렉스병원 (논현동)",B,병원,G099,응급의료기관 이외,2,내과는 16시 진료 마감   08/15 광복절 휴무,메가비뇨기과 신림역점(보훈위탁지정병원)입니다.   24시 응급요로결석 전화번호 02-871-7575,7호선 학동역 7번출구,메드렉스병원,02-6011-6000,1661-1177,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,1000,1000,60,46,127.0299765,37.51489843,15:20.0
A1116717,"서울특별시 구로구 중앙로 91, 본소클리닉스 (고척동)",B,병원,G099,응급의료기관 이외,2,"휴무: 매주 수요일, 일요일",고척동에 위치한 재활의학과 전문병원입니다.,고척LIGA아파트 맞은편,목동현대웰병원,02-3666-1122,02-829-7800,1730,1730,1730,1730,1730,1230,1600,1800,900,900,900,900,900,830,1200,900,82,28,126.8604242,37.50555474,15:20.0
A1100083,"서울특별시 강남구 논현로168길 35, 목산빌딩, 지하2층, 3~5층 (신사동)",B,병원,G099,응급의료기관 이외,2,휴게시간 12:30-13:30,미용성형만 함. 봉합불가.,석촌역 4번 출구 인근,미병원,1688-7734,02-829-7800,1900,1900,1900,1900,2100,1600,1800,1300,1000,1000,1000,1000,1000,1000,1000,900,60,24,127.0312089,37.52346412,15:12.0
A1116857,"서울특별시 송파구 송파대로 562, 2,3,8층 (신천동, 한빛프라자,삼성웰리스아파트)",B,병원,G099,응급의료기관 이외,2,점심시간 오후1시~2시 08/15 광복절 휴무,"정형외과, 신경외과, 내과, 영상의학과",잠실역 7번 출구,미래본병원,02-1899-5230,02-829-7800,1800,1800,1800,1800,1800,1300,1600,1300,900,900,900,900,900,900,900,900,55,10,127.0995027,37.51532353,15:21.0
A1124305,"서울특별시 강남구 논현로168길 35, 목산빌딩, 지하2층, 3~5층 (신사동)",B,병원,G099,응급의료기관 이외,2,휴게시간 12:30-13:30 휴게시간 및 진료종료 45분 전 접수마감,피부질환 위주의 일반진료는 방문접수해주셔야하고 대기인원에 따라 접수마감시간이 달라질수있습니다. 에스테틱(피부관리/백금/토닝/브이로/미백관리/모공레이저/프락셀/여드름관리 등)은 100% 예약제로 운영하오니 전화주시면 안내 도와드리겠습니다.,석촌역 4번 출구 인근,미병원,02-541-7222,02-829-7800,1900,1900,1900,1900,2100,1600,1800,1300,1000,1000,1000,1000,1000,1000,1000,900,60,24,127.0312077,37.52346385,15:21.0
A1100073,서울특별시 관악구 남부순환로 1785 (봉천동),B,병원,G099,응급의료기관 이외,2,분만실/응급실 00:00~24:00,서울 송파구 석촌동 송파대로에 위치한 피부과의원입니다. 항상 연구하며 최선을 다해 진료하겠습니다.,서울대입구역5번출구 300m,미래드림여성병원,02-886-5551,02-829-7800,1830,1830,1830,1830,1830,1500,1300,1700,900,900,900,900,900,900,1000,1000,87,58,126.9486334,37.48204326,10:19.0
A1100046,서울특별시 강서구 강서로 295 (내발산동),A,종합병원,G009,응급실운영신고기관,1,응급분만 02-2007-1021,"종합병원이며 산부인과 전문병원입니다. 진료과목은 소아청소년과,내분비내과,소화기내과,심장내과,류마티스내과,가정의학과,비뇨의학과,외과,영상의학과,마취통증의학과,병리과,진단검사의학과 전문센터로는 Miz분만센터,아이드림센터(난임),키즈센터,복강경센터,유방센터,소화기내시경센터,국민건강검진센터 운영.",압구정로데오역 2번 출구와 청담역 9번 출구 사이/청담사거리 인근,미즈메디병원,1588-2701,02-2007-1118,1700,1700,1700,1700,1700,1230,1300,1300,830,830,830,830,830,830,900,900,76,39,126.8360254,37.55225379,15:21.0
